Age,Earnings Past 12 Months,Usual Weekly Hours,Female,Married,No High School Degree,High School Degree or GED,Some College,Associates Degree,Bachelors Degree,Masters Degree,Professional Degree,Doctorate,Employed,White,Black,American Indian or Native American,Asian,Hawaiian or Pacific Islander,Other Race,Biracial,Hispanic,Worked 40+ Weeks During Past 12 Months,Worked 35+ Hours in a Typical Week
26,010100,25,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,00
62,000000,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,00
50,000000,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
51,000000,,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
57,000000,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,00
31,000000,,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,00
22,030000,45,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,01
55,090000,60,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
56,000000,,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
64,043700,40,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,01
54,030000,40,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
47,065000,45,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
53,000000,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,00
56,000000,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,00
61,000000,,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,00
48,085000,45,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,01
61,000000,,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
53,073000,48,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
63,017400,12,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,00
49,016800,40,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,01
50,060000,25,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,00
58,060000,40,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,01
28,018000,35,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,01
59,028000,35,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
55,000000,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,00
26,040000,40,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
56,047000,40,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
62,036000,40,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,01
31,015000,40,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,01
60,000000,,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,00
50,030000,40,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,01
45,000000,,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,00
